FIPS, MILESOFRAIL
15009,4.31088035
02170,225.1241684
02020,150.6696682
02122,58.95284938
02068,106.8427308
02290,43.60169212
02261,5.13798753
02999,965.6738138
02090,92.18219298
02230,18.68663896
41011,40.94283836
06023,104.1703903
41019,164.3292399
41039,323.6272799
41041,36.76636858
41057,60.87197205
53027,75.00304679
41007,32.25358723
06045,149.5414355
41003,81.36739467
41053,44.71119708
06105,13.26690634
41071,53.69624633
41067,133.6965248
41033,44.04205124
41009,69.5508935
53999,119.5274548
53045,61.03777578
41029,96.37690269
41043,187.6663897
53067,107.9061719
41047,154.0703811
53041,101.7602111
06097,74.29667093
53015,180.8733165
41051,351.5747479
53035,42.76623749
41005,64.29443209
53073,142.5503079
53011,154.1619204
53001,206.4173449
53053,328.0411375
06093,278.619937
06041,22.43633075
53057,77.91421332
06055,51.61482623
06081,64.40213032
06089,160.3495507
06013,350.9668873
53033,508.088906
06075,20.6084636
53061,169.9568002
06001,387.4427489
06103,69.84290634
06095,122.3650177
06021,47.32294059
53059,50.05714974
06087,46.88346365
06011,39.00735716
06085,158.5593022
41035,264.2310768
06007,123.5994582
06113,91.75634317
41027,54.27481832
06053,159.3249472
06101,30.45797525
06069,14.2588361
06115,60.65361232
06077,428.2808833
53039,118.6621954
06067,267.0370221
41017,76.98512589
06049,211.6207865
41065,142.8814055
06061,203.3581993
06063,180.3084663
53037,85.47237882
06035,240.7844936
06099,219.811669
41031,47.53668065
41013,18.09110553
53007,142.1307372
06017,28.54370792
06005,22.69662223
41055,21.11003785
06047,130.3629046
53077,183.6420474
06079,88.73711409
41021,59.84900326
06083,174.6417457
06057,33.72388748
06019,290.1522072
06109,30.161278
41037,16.15182815
06039,80.22196201
06091,8.37741818
53017,17.72831226
32031,207.6541766
41049,75.03304374
53025,178.2337557
06031,86.12553718
53047,97.68255474
53005,286.4364765
32029,15.62907435
06107,241.8469913
06029,537.2352631
06111,136.3632176
41059,259.0181633
32027,129.7443223
32019,65.90385891
53021,184.2204082
