FRANODEID,EFFICIENCY,LATITUDE,LONGITUDE
301206,0.0028913754215455834,44.218696125418155,-123.20117822555386
301210,0.0027890174930982783,44.217510821641156,-123.20111466795088
301211,0.0027130902631648866,44.21068917081402,-123.20098075878643
301213,0.0028310678699401417,44.21350628015931,-123.20089994185189
301216,0.0029309913803871692,44.197241355643214,-123.20007419337476
301222,0.0027904298505874903,44.1755709310899,-123.19914876603704
301226,0.0029665453880443255,44.17722792116366,-123.19759629666471
301228,0.0029270195942057717,44.174384175140354,-123.19643023222194
301234,0.0030170590597162774,44.17236601931491,-123.19506731456106
301279,0.0028504044962520646,44.24724310062654,-123.1760938860541
301284,0.0022755801865884263,44.06007907053891,-123.17295262572756
301305,0.0023477015467423673,44.06049893035812,-123.16878301358963
301310,0.002377070469754074,44.06058774230567,-123.16790103596557
301312,0.002713971802640043,44.274788530898455,-123.16774223897616
301314,0.0028464417232859133,44.26581880641592,-123.1676726878136
301316,0.002834762387008987,44.272518361799946,-123.1676512585025
301317,0.002724050692707291,44.267612422884746,-123.16739837107194
301318,0.003090902633455629,44.119220500591084,-123.16735965637812
301324,0.0023975341244099014,44.374713400170435,-123.1662547420534
301325,0.0024686549166933755,44.37515056846799,-123.1661754729161
301327,0.0024477680607918016,44.374945667484226,-123.16601366836711
301328,0.00254433359212005,44.376239686326954,-123.16597798728404
301329,0.002608165273680822,44.377642547471346,-123.16585456954377
301330,0.0025521661630831683,44.37807171563662,-123.16584334868756
301332,0.002493719143775276,44.37987149947768,-123.16576855136374
301341,0.0024190209771101727,44.06074204144281,-123.16454324123136
301345,0.0024519454319721213,44.379101684826445,-123.16416395724706
301347,0.0022755801865884263,44.06095907988344,-123.16391071588025
301349,0.0026350096841800683,44.37888332482276,-123.16339460949501
301352,0.002609423285700652,44.378918544647505,-123.16302466709134
301353,0.0023819468078848695,44.06077722550946,-123.16295296176874
301360,0.0025079083653532083,44.379125163982366,-123.1610276340613
301363,0.0024796454058293917,44.060704738717874,-123.16076454626067
301364,0.002405273279636979,44.06086370086401,-123.16074852840087
301370,0.002407977552360672,44.38136741112489,-123.16013388132052
301371,0.0024206400379074362,44.06053178677257,-123.1601030709029
301372,0.002407977552360672,44.38304140922533,-123.15996364159103
301375,0.002405273279636979,44.06118035283276,-123.15945232142963
301376,0.002586267231265262,44.38135597342903,-123.15876798215125
301377,0.0029937840917498956,44.1018833048373,-123.15853952081154
301378,0.0029088256043848944,44.101544547413305,-123.15846578888966
301380,0.0028998039097129294,44.101026399671625,-123.15834607131006
301381,0.0025028062226738397,44.06072635824036,-123.15833775830043
301383,0.00252884019663687,44.06067699501885,-123.15820548856134
301384,0.0028140064695848744,44.28612819561146,-123.15816229486755
301388,0.0025178804856400227,44.06047837523962,-123.15541379774614
301389,0.0025815665417234816,44.0606484656931,-123.15538205308064
301391,0.0026180006347920988,44.0606417908811,-123.15485431171584
301392,0.002667875161109304,44.37892199182963,-123.15470957695388
301394,0.0025478895779819373,44.060460571384596,-123.15343156985031
301395,0.0025348694996006234,44.06117272270033,-123.15321465365868
301396,0.002639928503124435,44.06061699078487,-123.15257977561983
301397,0.002434016357374167,44.06160255260815,-123.15245809162806
301398,0.0025012343451913596,44.38242044193046,-123.15235522823983
301399,0.002578136276646404,44.38165259713472,-123.15234534497507
301401,0.0026719217198065788,44.06061249980894,-123.15196078159184
301402,0.0027054503214452743,44.378938086167594,-123.15189340974216
301403,0.002711816858996477,44.060605218191405,-123.15095728077448
301404,0.002434016357374167,44.06182948178262,-123.15094821317999
301406,0.002652076945025317,44.37898514219314,-123.15055318083043
301407,0.002750037060138842,44.378946132371844,-123.15014312146279
301408,0.0025652258278171507,44.06043513729673,-123.15009493762759
301410,0.0028701820959512485,44.08371181927619,-123.14926470296389
301411,0.0029574485773765855,44.08340495549781,-123.14910552329218
301412,0.0030257081604087876,44.083126107244816,-123.14896300197911
301413,0.002966073063731299,44.082848593429745,-123.14882048066602
301415,0.003114507163824304,44.08260204079976,-123.14863023365854
301418,0.003051749959118041,44.08211321530664,-123.14837869998907
301419,0.0029932012639469784,44.08189563558477,-123.14822375587393
301421,0.0029151846970226734,44.081202693405,-123.14807605936647
301422,0.002936035806281717,44.08165339671238,-123.14805673660473
301425,0.0028357691666762684,44.081178355575204,-123.14772094994478
301427,0.0026833856436174718,44.06052542955032,-123.14762949875391
301430,0.002761453534866629,44.060556036263954,-123.14636505531283
301433,0.0029244697915558073,44.08067501358332,-123.14622180816097
301435,0.002873962274610554,44.079790875578084,-123.14507857979105
301436,0.0024908989952691874,44.05640114234661,-123.14399659137068
301437,0.002780886144545016,44.07886104244477,-123.14385914643725
301439,0.0025485053884511445,44.05760424728662,-123.14361390187314
301440,0.002871020454114965,44.07864120499059,-123.14345707938072
301441,0.003160348407408233,44.07860970673698,-123.14285994136358
301443,0.002808995110792272,44.07804777349957,-123.14257747600396
301444,0.0026970873358701914,44.07788384768468,-123.14236771040197
301445,0.0024908989952691874,44.05643166662138,-123.14233180294342
301446,0.0028342175049032112,44.077044855046196,-123.14148064472016
301447,0.0028025047338611614,44.077479750570774,-123.14147576866478
301448,0.0027667361466874652,44.074520511649744,-123.14146818418885
301449,0.0025902791002542984,44.056436752492615,-123.14108850225085
301450,0.002654706168049966,44.0765748416873,-123.14107416693555
301454,0.0026651325972924743,44.05845251200729,-123.1396970621814
301455,0.002607693743563131,44.0601680780688,-123.13858426334343
301456,0.0028883558271018466,44.07233418307962,-123.13834422541467
301457,0.0028212033881722027,44.30208180465317,-123.13811716095526
301461,0.0027398530621101035,44.06035756261569,-123.13651385861593
301462,0.0025752909548593986,44.05545253917991,-123.13635310060428
301463,0.0028274520021261294,44.0604402241152,-123.13588250915953
301464,0.0027034076864422664,44.07215241399062,-123.13521278816577
