FRANODEID,ECCENTRICITY,LATITUDE,LONGITUDE
364430,1287,32.72385055,-96.32490896
364432,976,41.30454588,-96.32345078
364435,1284,32.73695069,-96.32175083
364439,1283,32.73714895,-96.31945793
364441,1041,42.57325562,-96.31851552
364443,1282,32.73716386,-96.3180052
364444,1284,32.73411474,-96.31787186
364450,1337,28.86138702,-96.31406974
364455,1193,34.0782441,-96.31105513
364459,1002,39.19863654,-96.30887073
364468,1002,39.20082688,-96.30322786
364470,1271,30.5354196,-96.30201268
364472,965,39.61543146,-96.30110848
364473,1003,39.20133518,-96.30083659
364474,1265,31.16066984,-96.30061819
364477,966,39.61062915,-96.29891455
364478,1042,42.60639586,-96.29853575
364489,1017,39.00596297,-96.29305478
364494,1043,42.626513,-96.29133643
364495,1043,42.62872062,-96.29106916
364501,977,41.28844601,-96.28947246
364504,1016,39.00927924,-96.28915317
364515,1017,42.31022924,-96.28721588
364516,1194,34.09872462,-96.28690953
364518,1244,32.12323997,-96.28628382
364526,966,39.57921773,-96.28543222
364527,1044,42.64799375,-96.2849631
364529,1015,39.01409059,-96.28421215
364530,1016,42.30613397,-96.28416636
364532,1001,39.20438643,-96.28309667
364538,967,39.56625203,-96.28070088
364539,967,39.56624863,-96.28063282
364540,1014,39.02056403,-96.27955488
364544,1285,32.72024734,-96.27518239
364545,1283,32.73530892,-96.27471924
364546,1284,32.73519058,-96.27375417
364547,1284,32.73485339,-96.27352788
364550,1285,32.73453488,-96.27222575
364554,968,39.55187646,-96.26954042
364555,1308,29.56821196,-96.26949078
364560,1307,29.5670402,-96.26635996
364563,1195,34.11660927,-96.26582375
364564,964,39.874719,-96.26381063
364565,1266,31.22095658,-96.26192099
364571,1267,31.23744802,-96.25853088
364580,1285,32.73319038,-96.25744181
364582,1245,32.12749578,-96.2573183
364583,1268,31.24283308,-96.25631157
364585,965,39.87210493,-96.25584991
364588,1267,31.24657823,-96.2547681
364592,1308,29.56387345,-96.25303918
364595,1309,29.56373225,-96.25244523
364599,1013,39.0457488,-96.25145134
364604,1196,34.15734791,-96.25022362
364628,1307,29.601678,-96.2456452
364630,1045,42.72156633,-96.24460385
364633,1012,39.04844679,-96.24406968
364634,1308,29.6022537,-96.2429423
364637,1011,39.04975518,-96.24048678
364638,1010,39.0501195,-96.2394891
364639,965,39.86481,-96.23944
364644,1015,42.24335909,-96.23717146
364652,978,41.2814116,-96.23371741
364653,1246,32.13104296,-96.23317572
364656,1272,30.47466497,-96.23181986
364657,1009,39.05302576,-96.23153056
364658,986,41.450052,-96.23060354
364668,1014,42.22946,-96.226857
364673,979,41.27982417,-96.22647152
364675,1008,39.05485846,-96.22559634
364679,1310,29.55712024,-96.22463214
364683,969,39.52309621,-96.22365139
364693,1338,28.8755936,-96.21802073
364701,1013,42.21436074,-96.21552581
364702,1309,29.6083522,-96.2140392
364711,1197,34.2301511,-96.20938058
364714,1310,29.60973,-96.20769
364717,987,41.47031379,-96.20540319
364719,1273,30.46697446,-96.20503402
364722,988,41.47104385,-96.20389895
364724,1274,30.46644225,-96.20317611
364726,1311,29.6112094,-96.200736
364729,989,41.47312646,-96.19963312
364746,982,41.27243646,-96.19395084
364756,1275,30.46146468,-96.19237818
364760,981,41.27137111,-96.19203513
364762,1198,34.28159416,-96.19129321
364767,966,39.843477,-96.1901359
364779,982,41.26942763,-96.18926806
364786,1000,39.21666195,-96.1874698
364791,970,39.50668048,-96.18682947
364793,980,41.26963948,-96.18670743
364797,1199,34.29315842,-96.18492924
364798,967,39.842214,-96.1839723
364807,1304,29.7681116,-96.18130322
364821,971,39.4898361,-96.1764881
364843,1007,39.06510894,-96.1738969
364847,999,39.21679691,-96.17295528
364856,1274,31.34896,-96.17121913
364857,1274,31.3490419,-96.17113019
364858,1006,39.06547005,-96.1710632
364860,972,39.4874468,-96.1710074
364862,972,39.48712352,-96.17051684
364866,1268,31.34265129,-96.17008405
364868,1273,31.34745737,-96.16992716
364870,1270,31.33956212,-96.16988513
364875,1272,31.3461548,-96.16888794
364876,1302,29.78159538,-96.16879583
364877,1299,29.783118,-96.1687904
364878,1303,29.78145746,-96.16876135
364879,1271,31.34595747,-96.16849964
364880,981,41.25117433,-96.16790166
364883,1269,31.34330818,-96.16735319
364885,1302,29.7818195,-96.16690375
364887,1273,31.34948964,-96.16678575
364892,1286,32.72198366,-96.16604726
364893,1274,31.35250554,-96.16577398
364895,1301,29.78236686,-96.16569696
364898,1029,40.8749198,-96.1650395
364899,1303,29.78175066,-96.16459016
364901,1031,40.9202711,-96.1642404
364902,1007,39.06601753,-96.16414674
364903,1300,29.78275907,-96.16405486
364904,1031,40.92183411,-96.16400968
364905,1272,31.34909851,-96.16392285
364906,1032,40.91759391,-96.16382408
364907,1200,34.31521599,-96.16366276
364908,1046,42.79381639,-96.1634233
364909,1028,40.8720434,-96.1634069
364912,1301,29.78266856,-96.1627317
364913,1047,42.79427063,-96.16268528
364914,1270,31.34442042,-96.16266922
364916,1047,42.79569171,-96.16216316
364917,1049,42.80049649,-96.16213867
364918,1048,42.79987069,-96.1621379
364920,1027,40.8716903,-96.1619927
364922,1030,40.9146172,-96.16137562
364924,1034,41.00077305,-96.16068251
364925,1033,40.99932382,-96.16030811
364927,1035,41.00356,-96.15991
364929,1300,29.78277302,-96.1595684
364930,1035,40.99654442,-96.15945123
364931,1301,29.78284028,-96.1592393
364932,1032,40.99516671,-96.15901222
364933,1304,29.78290338,-96.15864499
364936,1036,41.00570333,-96.15750079
364937,1311,29.54102507,-96.15704871
364941,1302,29.78362991,-96.15533949
364944,1305,29.78215492,-96.15496052
364957,1303,29.78372,-96.15386
364958,1304,29.78367634,-96.15348897
364961,1012,42.12979634,-96.15250493
364974,974,39.41393891,-96.15034306
364977,973,39.42748161,-96.14953356
364981,1026,40.8711452,-96.1492955
364987,1012,42.12360019,-96.14789829
364990,1271,31.35728422,-96.14596592
364992,1312,29.53821506,-96.14528003
364993,1025,40.8693526,-96.144873
