FRANODEID,ECCENTRICITY,EFFICIENCY,LATITUDE,LONGITUDE
310977,1237,0.004177659,37.56788475,-121.9794752
310979,1238,0.00406627,37.56786965,-121.979079
310980,1207,0.003287409,39.81151307,-121.9789592
310981,1234,0.003661177,38.27927145,-121.9787496
310982,1239,0.003956327,37.56904234,-121.9787228
310983,1239,0.003914553,37.56796528,-121.9784762
310987,1236,0.004166564,37.5700506,-121.9781537
310988,1237,0.004406369,37.57763238,-121.97809
310989,1235,0.004325428,37.57023011,-121.977513
310990,1251,0.003618927,37.4370786,-121.9770283
310991,1233,0.003799363,38.28048388,-121.9768949
310993,1240,0.00382358,37.56964126,-121.9766868
310996,1251,0.003613604,37.51211152,-121.9754984
310997,1233,0.003777382,38.28056901,-121.975464
310998,1252,0.003482167,37.51069989,-121.9753983
310999,1234,0.003645525,38.27980589,-121.9752981
311000,1234,0.003687298,38.28003696,-121.975167
311001,1240,0.00382358,37.56917655,-121.9750786
311002,1232,0.003871786,38.28156317,-121.9749356
311003,1239,0.003914553,37.56912287,-121.9747751
311004,1252,0.003523941,37.5115386,-121.9747718
311005,1235,0.003574145,38.27955659,-121.9747466
311006,1250,0.003647591,37.46063131,-121.9746866
311007,1357,0.002444668,43.51443878,-121.9746123
311010,1235,0.003574145,38.27923431,-121.9742953
311011,1249,0.003702887,37.46591383,-121.9742766
311012,1253,0.003410831,37.5107058,-121.9738375
311013,1253,0.003410831,37.51073533,-121.9737523
311014,1234,0.004437669,37.57151086,-121.9736756
311015,1232,0.003851944,38.28194016,-121.9732192
311016,1233,0.003766416,38.28140204,-121.9730996
311017,1236,0.004607698,37.56948709,-121.9728472
311018,1234,0.003680286,38.28104633,-121.9728026
311019,1231,0.003949997,38.28286134,-121.9725558
311020,1235,0.003569259,38.28065109,-121.9724439
311021,1235,0.003569259,38.28069062,-121.9723784
311022,1233,0.003708977,38.28015553,-121.9722318
311023,1234,0.003638513,38.28020417,-121.9721315
311024,1230,0.004016898,38.28332041,-121.9717767
311026,1229,0.004049838,38.28380467,-121.9710225
311027,1233,0.004462469,37.57265413,-121.9706765
311028,1358,0.00238283,43.51114273,-121.9705803
311029,1236,0.004499128,37.57246545,-121.970541
311031,1234,0.004508653,37.57204781,-121.9700933
311032,1235,0.004499493,37.57204533,-121.9700529
311034,1235,0.004594445,37.57146796,-121.9700041
311035,1234,0.004628756,37.57168397,-121.9696374
311036,1233,0.004575738,37.57339166,-121.9693922
311038,1297,0.002554004,41.64550406,-121.9688896
311040,1232,0.004546778,37.57444098,-121.968131
311041,1235,0.004641451,37.56993549,-121.9676437
311042,1231,0.004428285,37.57488702,-121.9676289
311044,1252,0.003527209,37.40690683,-121.9670401
311047,1298,0.002558813,41.68365366,-121.9662123
311048,1206,0.003305912,39.79141848,-121.9660589
311052,1213,0.004110594,38.03884162,-121.9649265
311053,1445,0.002930409,45.63028903,-121.9637171
311055,1357,0.002380792,43.50698636,-121.9632074
311057,1212,0.004200645,38.0380834,-121.9617337
311058,1214,0.003929423,38.03803465,-121.9617167
311060,1215,0.00379562,38.03557334,-121.9590639
311061,1446,0.002821571,45.63396906,-121.9589981
311062,1215,0.00379562,38.03515975,-121.9584581
311063,1253,0.003459092,37.39357855,-121.9580492
311064,1205,0.003333318,39.78060591,-121.9578637
311066,1211,0.004271831,38.03736889,-121.9571869
311067,1214,0.003941226,38.03595834,-121.9559625
311068,1236,0.004569263,37.54339929,-121.9556069
311069,1213,0.004075056,38.0364536,-121.9544932
311070,1252,0.003553094,37.43059188,-121.954012
311071,1253,0.003486581,37.43092089,-121.9535399
311072,1254,0.003413285,37.43119901,-121.95314
311074,1253,0.003429142,37.43166369,-121.9524085
311075,1255,0.003311695,37.43160942,-121.9523617
311076,1255,0.003311695,37.43154837,-121.9523277
311077,1254,0.003371511,37.43149749,-121.9522936
311078,1354,0.002410116,43.44606018,-121.9509714
311080,1227,0.003916881,38.30066637,-121.9497698
311081,1305,0.002554022,41.91513081,-121.9496425
311083,1242,0.00397165,37.50525142,-121.9488557
311084,1244,0.003783591,37.50559066,-121.9488456
311085,1244,0.003783591,37.50555028,-121.9488415
311086,1242,0.003966428,37.50520618,-121.9488274
311087,1244,0.003783591,37.50538873,-121.9488233
311088,1244,0.003783591,37.50543881,-121.9488111
311089,1244,0.003775758,37.5051141,-121.9487543
311090,1244,0.003775758,37.50507048,-121.948732
311091,1243,0.003869017,37.50496548,-121.9486935
311093,1356,0.00244012,43.49594281,-121.947693
311094,1243,0.003922726,37.50615122,-121.9470693
311095,1243,0.003922726,37.50611407,-121.947051
311096,1243,0.00391079,37.50593475,-121.9468908
311097,1216,0.003792552,38.02942835,-121.9468796
311098,1242,0.004044754,37.50620938,-121.9467286
311099,1242,0.004023867,37.50605268,-121.9467144
311100,1241,0.004147824,37.50625461,-121.9464751
311101,1241,0.004139469,37.50622553,-121.9464183
311102,1355,0.002417775,43.4651133,-121.946394
311103,1240,0.004270284,37.50631438,-121.9461466
311105,1237,0.00456421,37.51356223,-121.9457298
311106,1255,0.003359598,37.3672146,-121.9455266
311107,1254,0.00340227,37.36910376,-121.9455258
311108,1256,0.003263999,37.36867046,-121.9453792
311110,1216,0.003792552,38.03031726,-121.9443971
311111,1216,0.003792552,38.03037368,-121.9443937
311113,1240,0.004164806,37.50661485,-121.9438248
311114,1250,0.003602597,37.49662638,-121.9435232
311115,1250,0.003602597,37.49658019,-121.9434975
311116,1256,0.003284886,37.35896614,-121.9434351
311117,1249,0.003692956,37.4965571,-121.9434331
311118,1250,0.003602597,37.49646729,-121.9434137
311119,1250,0.003602597,37.49641853,-121.9433912
311120,1249,0.003692956,37.49651604,-121.9433912
311121,1214,0.003941226,38.03362101,-121.9433534
311122,1216,0.003792552,38.02880362,-121.9433377
311123,1244,0.004078715,37.50376721,-121.9432173
311124,1215,0.00393479,38.03046312,-121.9429776
311125,1215,0.00379562,38.03338021,-121.9427741
311126,1215,0.00393479,38.03048789,-121.9421808
311127,1214,0.004063569,38.03138229,-121.9421808
311128,1239,0.004368887,37.50626431,-121.9420951
311129,1238,0.004496355,37.50596706,-121.94187
311130,1249,0.00373473,37.49715754,-121.9417584
311131,1249,0.00373473,37.49704207,-121.9416746
311132,1238,0.004524098,37.50536454,-121.9414992
311133,1248,0.003847969,37.49720886,-121.9414556
311134,1248,0.003847969,37.49716267,-121.9414363
311135,1250,0.003621043,37.5010295,-121.9414202
311136,1239,0.004463173,37.50500102,-121.9413671
311137,1251,0.003539136,37.50104747,-121.9413397
311138,1251,0.003539136,37.50106543,-121.9412721
311139,1249,0.003706533,37.50109108,-121.9412012
311140,1249,0.003706533,37.50110391,-121.9411561
311141,1251,0.003539136,37.50113214,-121.9410821
311142,1247,0.00397131,37.4972884,-121.9410531
311143,1251,0.003539136,37.50115267,-121.9410112
311144,1240,0.004464617,37.50427082,-121.940996
311145,1250,0.003621043,37.50118089,-121.9409339
311146,1239,0.004517002,37.50387237,-121.9407286
311147,1240,0.004458686,37.50358631,-121.9405777
311148,1250,0.003662817,37.49940017,-121.9404025
311149,1243,0.00429486,37.5011655,-121.9402351
311150,1249,0.003763972,37.49912049,-121.9402157
311151,1250,0.003662817,37.49948741,-121.9402157
311152,1246,0.004079087,37.49756296,-121.9401964
311153,1249,0.003763972,37.49921286,-121.9400933
311154,1212,0.004193954,38.03301927,-121.9400818
311155,1248,0.003867464,37.49885363,-121.9400289
311156,1248,0.003867464,37.49883567,-121.9399742
311157,1247,0.003986975,37.4986304,-121.9398808
311158,1241,0.004273832,37.50252285,-121.9398564
311159,1242,0.004207961,37.50222397,-121.9396942
311160,1244,0.004075884,37.50218582,-121.9395583
311161,1257,0.00320844,37.35491483,-121.939547
311162,1243,0.004050785,37.50185886,-121.9395117
311163,1244,0.00426181,37.49922569,-121.9391014
311164,1241,0.004453266,37.50057945,-121.9390818
311165,1245,0.004177636,37.49883054,-121.939008
311166,1245,0.004162506,37.49899219,-121.9389823
311167,1246,0.004049472,37.4987433,-121.9389017
311168,1246,0.004076661,37.49877665,-121.9388631
311169,1247,0.003951303,37.49853802,-121.9388405
311170,1242,0.004375581,37.49990052,-121.9387955
311171,1248,0.003916104,37.49828913,-121.9387697
311172,1247,0.003984394,37.49852263,-121.9386892
311173,1249,0.003861106,37.49801201,-121.9386827
311174,1243,0.004279562,37.49964393,-121.9386666
311175,1250,0.003780709,37.4978093,-121.9386248
311176,1246,0.004086248,37.49721656,-121.9386022
311177,1251,0.003720764,37.49755526,-121.9385475
311178,1247,0.003986157,37.49832762,-121.9385378
311179,1247,0.003999706,37.49695996,-121.9384798
311180,1251,0.003704453,37.49727557,-121.9384798
311181,1250,0.003734053,37.49706516,-121.9384187
311182,1243,0.004272022,37.49912049,-121.9383993
311183,1246,0.004051487,37.49812234,-121.9383832
311184,1249,0.003797104,37.49684962,-121.9383639
311185,1248,0.003894118,37.49663921,-121.9383092
311186,1244,0.004120185,37.49882028,-121.9382931
311187,1245,0.004049722,37.49792476,-121.9382286
311188,1249,0.003737667,37.49555122,-121.9380869
311192,1249,0.003799588,37.49408343,-121.9369791
311193,1250,0.003749747,37.49337775,-121.9365024
